node,taxonomy_tips,backbone_tips,simulated_tips,backbone_monophyletic,simulated_monophyletic,backbone_birth,simulated_birth,backbone_death,simulated_death,warnings
Chamaedaphne,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Pyrola,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Vaccinium,2,2,2,True,True,0.4214639756716629,0.4214639756716629,0.0,0.0,
Polemoniaceae,2,2,2,True,True,0.013565287484773913,0.013565287484773913,0.0,0.0,
__TAXONOMIC_ROOT__,451,430,451,True,True,0.04141005647778256,0.0411491821012026,0.032320663822886946,0.03200137477050372,
Alismatales,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Alismataceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Sagittaria,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Apiales,4,4,4,True,True,0.02185353200419633,0.02185353200419633,0.0,0.0,
Amorpha,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Amphicarpaea,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Astragalus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Baptisia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Chamaecrista,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Phlox,2,2,2,True,True,0.013565287484773913,0.013565287484773913,0.0,0.0,
Primulaceae,3,,,False,False,,,,,
Lysimachia,3,,,False,False,,,,,
Fabales,27,26,27,True,True,0.021502113014539033,0.021199830484937773,0.0,0.0,
Fabaceae,25,24,25,True,True,0.02169329496316693,0.02134656091477648,0.0,0.0,
Dalea,2,2,2,True,True,153.68559223458996,153.68559223458996,53.68559223458997,53.68559223458997,
Desmodium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Hylodesmum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Lathyrus,2,2,2,True,True,149.2364640329537,149.2364640329537,49.2364640329537,49.2364640329537,
Lespedeza,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Lupinus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Medicago,2,2,2,True,True,0.01672747553619176,0.01672747553619176,0.0,0.0,
Melilotus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Petalostemon,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Robinia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Strophostyles,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Trifolium,4,4,4,True,True,0.02382160558833979,0.02382160558833979,0.0,0.0,
Vicia,2,2,2,True,True,0.02283009025135946,0.02283009025135946,0.0,0.0,
Polygalaceae,2,2,2,True,True,0.04330328878939467,0.04330328878939467,0.0,0.0,
Polygala,2,2,2,True,True,0.04330328878939467,0.04330328878939467,0.0,0.0,
Fagales,9,9,9,True,True,0.03881073868653948,0.03881073868653948,0.01934124698625853,0.01934124698625853,
Betulaceae,5,5,5,True,True,0.029702703404963025,0.029702703404963025,0.0,0.0,
Alnus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Betula,3,3,3,True,True,0.05607289469515507,0.05607289469515507,0.0,0.0,
Corylus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Fagaceae,4,4,4,True,True,0.09928002269183885,0.09928002269183885,0.0,0.0,
Quercus,4,4,4,True,True,0.09928002269183885,0.09928002269183885,0.0,0.0,
Gentianales,15,15,15,True,True,0.04004931235511642,0.04004931235511642,0.013235285040209531,0.013235285040209531,
Apocynaceae,9,9,9,True,True,0.045271138586963466,0.045271138586963466,0.0,0.0,
Apocynum,2,2,2,True,True,0.02478975961747422,0.02478975961747422,0.0,0.0,
Asclepias,7,7,7,True,True,0.07581786228817028,0.07581786228817028,0.0,0.0,
Gentianaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Gentiana,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Rubiaceae,5,5,5,True,True,0.028822486779025318,0.028822486779025318,8.470420849128995e-08,8.470420849128995e-08,
Galium,4,4,4,True,True,0.05309089723750293,0.05309089723750293,0.0,0.0,
Houstonia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Geraniales,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Geraniaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Geranium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Ginkgoales,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Ginkgoaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Ginkgo,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Lamiales,34,,,False,False,,,,,
Gesneriaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Seemannia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Lamiaceae,16,16,16,True,True,0.0449983381423374,0.0449983381423374,0.0,0.0,
Agastache,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Glechoma,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Hedeoma,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Lycopus,2,2,2,True,True,0.029816563145481235,0.029816563145481235,0.0,0.0,
Monarda,2,,,False,False,,,,,
Mosla,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Nepeta,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Prunella,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Pycnanthemum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Scutellaria,3,3,3,True,True,0.12188315851504969,0.12188315851504969,0.0,0.0,
Stachys,2,2,2,True,True,0.03775289914000861,0.03775289914000861,0.0,0.0,
Oleaceae,3,3,3,True,True,0.0637120126796695,0.0637120126796695,0.0,0.0,
Fraxinus,3,3,3,True,True,0.0637120126796695,0.0637120126796695,0.0,0.0,
Orobanchaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Pedicularis,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Phrymaceae,2,,,False,False,,,,,
Mimulus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Phryma,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Plantaginaceae,7,7,7,True,True,0.015260150885276519,0.015260150885276519,0.0,0.0,
Linaria,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Penstemon,3,3,3,True,True,0.17696548292988457,0.17696548292988457,0.17571946320511142,0.17571946320511142,
Plantago,2,2,2,True,True,0.0137552512470661,0.0137552512470661,0.0,0.0,
Veronicastrum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Scrophulariaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Uvularia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Liliaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Streptopus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Smilacaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Smilax,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Verbascum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Verbenaceae,3,3,3,True,True,0.7354773759964948,0.7354773759964948,0.7248428420845657,0.7248428420845657,
Verbena,3,3,3,True,True,0.7354773759964948,0.7354773759964948,0.7248428420845657,0.7248428420845657,
Liliales,3,3,3,True,True,0.004101503462768264,0.004101503462768264,0.0,0.0,
Colchicaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Malpighiales,23,,,False,False,,,,,
Euphorbiaceae,3,3,3,True,True,0.016737035053301656,0.016737035053301656,0.0,0.0,
Euphorbia,3,3,3,True,True,0.016737035053301656,0.016737035053301656,0.0,0.0,
Hypericaceae,2,,,False,False,,,,,
Hypericum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Viola,6,6,6,True,True,0.06176795002441533,0.06176795002441533,0.0,0.0,
Malvales,2,1,2,True,True,0.001000000001,0.08010190497173686,1.0000000010000002e-12,0.0,
Cistaceae,2,1,2,True,True,0.001000000001,0.08010190497173686,1.0000000010000002e-12,0.0,
Helianthemum,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Lechea,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Triadenum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Salicaceae,12,12,12,True,True,0.14235824805310532,0.14235824805310532,0.13640065805702065,0.13640065805702065,
Populus,4,,,False,False,,,,,
Salix,8,8,8,True,True,0.1582725562304114,0.1582725562304114,0.12413698803407004,0.12413698803407004,
Violaceae,6,6,6,True,True,0.06176795002441533,0.06176795002441533,0.0,0.0,
Ludwigia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Oenothera,3,3,3,True,True,0.4467240276944729,0.4467240276944729,0.0,0.0,
Oxalidales,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Oxalidaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Oxalis,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Myrtales,8,8,8,True,True,0.02139539155046701,0.02139539155046701,0.008387594562056155,0.008387594562056155,
Onagraceae,8,8,8,True,True,0.02139539155046701,0.02139539155046701,0.008387594562056155,0.008387594562056155,
Chamaenerion,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Circaea,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Epilobium,2,2,2,True,True,0.16481105784470965,0.16481105784470965,0.0,0.0,
Pinales,6,6,6,True,True,0.012907286398135742,0.012907286398135742,0.012907039735274293,0.012907039735274293,
Cupressaceae,2,2,2,True,True,0.17563919209209602,0.17563919209209602,0.0,0.0,
Juniperus,2,2,2,True,True,0.17563919209209602,0.17563919209209602,0.0,0.0,
Pinaceae,4,4,4,True,True,0.011377049439000132,0.011377049439000132,0.0,0.0,
Larix,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Dulichium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Eleocharis,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Scirpus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Scleria,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Juncaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Juncus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Poaceae,63,,,False,False,,,,,
Agrostis,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Andropogon,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Anthoxanthum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Aristida,2,2,2,True,True,0.033189591317036145,0.033189591317036145,0.0,0.0,
Bouteloua,3,,,False,False,,,,,
Bromus,4,4,4,True,True,0.05467133548024032,0.05467133548024032,0.0,0.0,
Calamagrostis,2,,,False,False,,,,,
Cenchrus,2,,,False,False,,,,,
Pinus,3,3,3,True,True,0.015476037081532588,0.015476037081532588,0.0,0.0,
Poales,95,,,False,False,,,,,
Cyperaceae,28,27,28,True,True,0.09021526374689727,0.10941867628119854,0.08849299663139637,0.10931727700688768,
Carex,21,20,21,True,True,0.11847288338391214,0.12047068488838387,0.0,0.0,
Cyperus,3,3,3,True,True,0.18981521091828782,0.18981521091828782,0.0,0.0,
Chondrosum,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Danthonia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Dichanthelium,2,2,2,True,True,0.10592750982204563,0.10592750982204563,0.0,0.0,
Digitaria,3,,,False,False,,,,,
Elymus,4,,,False,False,,,,,
Eragrostis,2,2,2,True,True,0.015231374760372724,0.015231374760372724,0.0,0.0,
Festuca,3,3,3,True,True,0.09916743633252176,0.09916743633252176,0.09627049635027596,0.09627049635027596,
Glyceria,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Koeleria,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Leersia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Lolium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Miscanthus,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Muhlenbergia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Panicum,5,3,5,True,True,0.06058464333871413,0.042390485417688674,0.0,0.0,
Paspalum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Phalaris,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Phleum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Poa,4,4,4,True,True,0.07413884305646072,0.07413884305646072,0.0,0.0,
Schizachne,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Schizachyrium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Secale,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Setaria,2,2,2,True,True,0.024443808237856916,0.024443808237856916,0.0,0.0,
Sorghastrum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Sporobolus,4,4,4,True,True,0.060492541962914904,0.060492541962914904,0.0,0.0,
Stipa,2,,,False,False,,,,,
Trachypogon,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Typhaceae,2,2,2,True,True,0.004705848028850995,0.004705848028850995,0.0,0.0,
Typha,2,2,2,True,True,0.004705848028850995,0.004705848028850995,0.0,0.0,
Xyridaceae,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Xyris,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Ranunculales,10,8,10,True,True,0.01992310220976218,0.020942250441811052,0.008251596259780797,0.010173540199119865,
Ranunculaceae,10,8,10,True,True,0.01992310220976218,0.020942250441811052,0.008251596259780797,0.010173540199119865,
Anemone,4,3,4,True,True,0.09804728642543334,0.11104825708055256,0.0,0.0,
Aquilegia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Caltha,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Delphinium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Ranunculus,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Thalictrum,2,2,2,True,True,0.07081387761240665,0.07081387761240665,0.0,0.0,
Rosales,39,,,False,False,,,,,
Rhamnaceae,3,,,False,False,,,,,
Ceanothus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Frangula,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Rhamnus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Rosaceae,31,,,False,False,,,,,
Amelanchier,5,4,5,True,True,0.09974908251728032,0.09976356292030127,0.0,0.0,
Aronia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Comarum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Drymocallis,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Fragaria,2,2,2,True,True,0.33858408975450915,0.33858408975450915,0.0,0.0,
Malus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Potentilla,4,4,4,True,True,0.03901537883378285,0.03901537883378285,0.0,0.0,
Prunus,5,5,5,True,True,0.06517509320843205,0.06517509320843205,0.003679490456935075,0.003679490456935075,
Rosa,3,3,3,True,True,0.3822749884709902,0.3822749884709902,0.0,0.0,
Rubus,6,6,6,True,True,0.05390054562048935,0.05390054562048935,0.0,0.0,
Spiraea,2,,,False,False,,,,,
Ulmaceae,2,2,2,True,True,0.0627911904422229,0.0627911904422229,0.0,0.0,
Ulmus,2,2,2,True,True,0.0627911904422229,0.0627911904422229,0.0,0.0,
Urticaceae,3,3,3,True,True,0.008926237721594251,0.008926237721594251,0.0,0.0,
Parietaria,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Pilea,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Urtica,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Santalales,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Santalaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Comandra,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Sapindales,6,6,6,True,True,0.025532802990336244,0.025532802990336244,0.01347269129539606,0.01347269129539606,
Anacardiaceae,3,3,3,True,True,0.05227073679098437,0.05227073679098437,0.0,0.0,
Rhus,2,2,2,True,True,0.15995295955815503,0.15995295955815503,0.0,0.0,
Toxicodendron,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Rutaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Zanthoxylum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Sapindaceae,2,2,2,True,True,0.047822912561743536,0.047822912561743536,0.0,0.0,
Acer,2,2,2,True,True,0.047822912561743536,0.047822912561743536,0.0,0.0,
